SaleID,DateTime,DrugID,DrugName,DrugClass,Price,ExpDate,Quantity,TotalSales
12005226,01-04-2023 09:04,D0051,Ciprofloxacin,Psychotropic,106,2024-03,6,636
12005226,01-04-2023 09:04,D0051,Olmesartan,Analgesic,170,2023-10,2,340
12005227,01-04-2023 09:05,D0049,Donepezil,Antiviral,184,2024-03,5,920
12005227,01-04-2023 09:05,D0061,Fexofenadine,Hormonal,54,2023-05,6,324
12005227,01-04-2023 09:05,D0034,Naproxen,Respiratory,50,2024-01,3,150
12005227,01-04-2023 09:05,D0085,Pantoprazole,Immunosuppressant,50,2023-11,2,100
12005228,01-04-2023 09:06,D0028,Dorzolamide,Immunosuppressant,28,2024-03,1,28
12005228,01-04-2023 09:06,D0030,Allopurinol,Gastrointestinal,123,2023-10,8,984
12005228,01-04-2023 09:06,D0049,Donepezil,Antiviral,184,2024-02,1,184
12005229,01-04-2023 09:07,D0088,Bupropion,Respiratory,27,2023-08,9,243
12005229,01-04-2023 09:07,D0071,Fenofibrate,Hormonal,115,2023-07,4,460
12005229,01-04-2023 09:07,D0032,Esomeprazole,Gastrointestinal,138,2024-01,7,966
12005229,01-04-2023 09:07,D0095,Tiagabine,Respiratory,96,2024-03,6,576
12005229,01-04-2023 09:07,D0049,Metoprolol,Diabetes,66,2023-12,5,330
12005230,01-04-2023 09:08,D0049,Donepezil,Antiviral,184,2023-07,6,1104
12005230,01-04-2023 09:08,D0064,Azithromycin,Psychotropic,191,2023-11,7,1337
12005230,01-04-2023 09:08,D0100,Sitagliptin,Psychotropic,194,2024-03,5,970
12005230,01-04-2023 09:08,D0022,Amoxicillin,Cardiovascular,31,2023-09,9,279
12005230,01-04-2023 09:08,D0030,Montelukast,Dermatological,93,2024-02,4,372
12005231,01-04-2023 09:09,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-03,6,984
12005231,01-04-2023 09:09,D0085,Pantoprazole,Immunosuppressant,50,2023-11,2,100
12005232,01-04-2023 09:10,D0029,Nebivolol,Immunosuppressant,79,2023-05,3,237
12005233,01-04-2023 09:11,D0049,Donepezil,Antiviral,184,2023-05,1,184
12005233,01-04-2023 09:11,D0068,Aripiprazole,Hormonal,183,2024-03,3,549
12005233,01-04-2023 09:11,D0032,Esomeprazole,Gastrointestinal,138,2023-10,7,966
12005233,01-04-2023 09:11,D0042,Saxagliptin,Antibiotic,189,2024-02,4,756
12005233,01-04-2023 09:11,D0083,Acetaminophen,Neurological,75,2023-10,1,75
12005234,01-04-2023 09:12,D0073,Doxycycline,Cardiovascular,188,2023-08,6,1128
12005234,01-04-2023 09:12,D0033,Levothyroxine,Oncology,31,2023-06,3,93
12005234,01-04-2023 09:12,D0012,Ibuprofen,Gastrointestinal,84,2023-06,3,252
12005234,01-04-2023 09:12,D0004,Duloxetine,Neurological,156,2023-07,3,468
12005235,01-04-2023 09:13,D0013,Travoprost,Dermatological,198,2023-05,2,396
